coach_qid,coach_name,team_qid,team_name,played_there
Q180661,Dino Zoff,Q2913263,Italy national under-23 football team,0
Q180661,Dino Zoff,Q1422,Juventus FC,1
Q180661,Dino Zoff,Q2609,SS Lazio,0
Q180661,Dino Zoff,Q2609,SS Lazio,0
Q180661,Dino Zoff,Q676899,Italy men's national association football team,1
Q180661,Dino Zoff,Q2609,SS Lazio,0
Q180661,Dino Zoff,Q2052,ACF Fiorentina,0
Q68039,Zbigniew Boniek,Q13391,US Lecce,0
Q218369,Sven-Göran Eriksson,Q1140767,Degerfors IF,0
Q218369,Sven-Göran Eriksson,Q201567,IFK Göteborg,0
Q218369,Sven-Göran Eriksson,Q131499,S.L. Benfica,0
Q218369,Sven-Göran Eriksson,Q2739,A.S. Roma,0
Q218369,Sven-Göran Eriksson,Q2052,ACF Fiorentina,0
Q218369,Sven-Göran Eriksson,Q131499,S.L. Benfica,0
Q218369,Sven-Göran Eriksson,Q1457,U.C. Sampdoria,0
Q218369,Sven-Göran Eriksson,Q2609,SS Lazio,0
Q218369,Sven-Göran Eriksson,Q47762,England men's national association football team,0
Q218369,Sven-Göran Eriksson,Q50602,Manchester City F.C.,0
Q218369,Sven-Göran Eriksson,Q164089,Mexico men's national football team,0
Q218369,Sven-Göran Eriksson,Q175145,Ivory Coast men's national football team,0
Q218369,Sven-Göran Eriksson,Q19481,Leicester City F.C.,0
Q218369,Sven-Göran Eriksson,Q1192340,Guangzhou City F.C.,0
Q218369,Sven-Göran Eriksson,Q564216,Shanghai Port F.C.,0
Q218369,Sven-Göran Eriksson,Q1139956,Shenzhen F.C.,0
Q218369,Sven-Göran Eriksson,Q219854,Philippines men's national association football team,0
Q511092,Eugenio Corini,Q6651,Brescia Calcio,1
Q511092,Eugenio Corini,Q6651,Brescia Calcio,1
Q9354,Gianfranco Zola,Q9616,Chelsea F.C.,1
Q44464,Rudi Völler,Q104761,Bayer 04 Leverkusen,1
Q44464,Rudi Völler,Q43310,Germany men's national association football team,1
Q44464,Rudi Völler,Q1050607,caretaker manager,0
Q192131,Giuseppe Meazza,Q1886,Atalanta BC,1
Q192131,Giuseppe Meazza,Q631,Inter Milan,1
Q192131,Giuseppe Meazza,Q172567,Beşiktaş J.K.,0
Q192131,Giuseppe Meazza,Q777337,Aurora Pro Patria 1919,0
Q192131,Giuseppe Meazza,Q676899,Italy men's national association football team,1
Q192131,Giuseppe Meazza,Q631,Inter Milan,1
Q192131,Giuseppe Meazza,Q631,Inter Milan,1
Q15802,Daniel Passarella,Q768253,Club de Fútbol Monterrey,0
Q227892,Alessandro Nesta,Q19984972,Miami FC,0
Q227892,Alessandro Nesta,Q16344,A.C. Perugia Calcio,0
Q227892,Alessandro Nesta,Q845043,Frosinone Calcio,0
Q227892,Alessandro Nesta,Q289707,A.C. Reggiana 1919,0
Q227892,Alessandro Nesta,Q289482,AC Monza,0
Q484909,Clarence Seedorf,Q1543,AC Milan,1
Q484909,Clarence Seedorf,Q8760,Deportivo de La Coruña,0
Q222789,Luis Enrique,Q10467,FC Barcelona Atlètic,0
Q222789,Luis Enrique,Q2739,A.S. Roma,0
Q222789,Luis Enrique,Q8749,RC Celta de Vigo,0
Q222789,Luis Enrique,Q7156,FC Barcelona,1
Q222789,Luis Enrique,Q42267,Spain men's national football team,1
Q222789,Luis Enrique,Q42267,Spain men's national football team,1
Q222789,Luis Enrique,Q483020,Paris Saint-Germain FC,0
Q41244,Andriy Shevchenko,Q170403,Ukraine men's national football team,1
Q41244,Andriy Shevchenko,Q2074,Genoa CFC,0
Q235068,Claudio Ranieri,Q1948889,Vigor Lamezia,0
Q235068,Claudio Ranieri,Q15140971,S.S.D. Puteolana 1902 Internapoli,0
Q235068,Claudio Ranieri,Q15140971,S.S.D. Puteolana 1902 Internapoli,0
Q235068,Claudio Ranieri,Q1900,Cagliari Calcio,0
Q235068,Claudio Ranieri,Q2641,SSC Napoli,0
Q235068,Claudio Ranieri,Q2052,ACF Fiorentina,0
Q235068,Claudio Ranieri,Q10333,Valencia CF,0
Q235068,Claudio Ranieri,Q8701,Atlético de Madrid,0
Q235068,Claudio Ranieri,Q9616,Chelsea F.C.,0
Q235068,Claudio Ranieri,Q10333,Valencia CF,0
Q235068,Claudio Ranieri,Q2693,Parma Calcio 1913,0
Q235068,Claudio Ranieri,Q1422,Juventus FC,0
Q235068,Claudio Ranieri,Q2739,A.S. Roma,1
Q235068,Claudio Ranieri,Q631,Inter Milan,0
Q235068,Claudio Ranieri,Q180305,AS Monaco FC,0
Q235068,Claudio Ranieri,Q134925,Greece men's national football team,0
Q235068,Claudio Ranieri,Q19481,Leicester City F.C.,0
Q235068,Claudio Ranieri,Q192071,FC Nantes,0
Q235068,Claudio Ranieri,Q18708,Fulham F.C.,0
Q235068,Claudio Ranieri,Q2739,A.S. Roma,1
Q235068,Claudio Ranieri,Q1457,U.C. Sampdoria,0
Q235068,Claudio Ranieri,Q2714,Watford F.C.,0
Q235068,Claudio Ranieri,Q1900,Cagliari Calcio,0
Q235068,Claudio Ranieri,Q2739,A.S. Roma,1
Q183108,Fabio Capello,Q3299830,A.C. Milan Primavera,0
Q183108,Fabio Capello,Q1543,AC Milan,1
Q183108,Fabio Capello,Q1543,AC Milan,1
Q183108,Fabio Capello,Q8682,Real Madrid CF,0
Q183108,Fabio Capello,Q1543,AC Milan,1
Q183108,Fabio Capello,Q2739,A.S. Roma,1
Q183108,Fabio Capello,Q1422,Juventus FC,1
Q183108,Fabio Capello,Q8682,Real Madrid CF,0
Q183108,Fabio Capello,Q47762,England men's national association football team,0
Q183108,Fabio Capello,Q726080,Russia men's national football team,0
Q183108,Fabio Capello,Q925648,Jiangsu F.C.,0
Q654036,Jesse Carver,Q19487,Millwall F.C.,0
Q219657,Frank de Boer,Q47050,Netherlands national association football team,1
Q219657,Frank de Boer,Q81888,AFC Ajax,1
Q219657,Frank de Boer,Q631,Inter Milan,0
Q219657,Frank de Boer,Q19467,Crystal Palace F.C.,0
Q219657,Frank de Boer,Q16836317,Atlanta United FC,0
Q312143,David Platt,Q19490,Nottingham Forest F.C.,1
Q144048,Rafa Benítez,Q6101985,Real Madrid Juvenil,0
Q144048,Rafa Benítez,Q12217,Real Madrid Castilla,1
Q144048,Rafa Benítez,Q12217,Real Madrid Castilla,1
Q144048,Rafa Benítez,Q10319,Real Valladolid,0
Q144048,Rafa Benítez,Q10286,Club Atlético Osasuna,0
Q144048,Rafa Benítez,Q994224,Extremadura UD,0
Q144048,Rafa Benítez,Q216661,C.D. Tenerife,0
Q144048,Rafa Benítez,Q10333,Valencia CF,0
Q144048,Rafa Benítez,Q1130849,Liverpool F.C.,0
Q144048,Rafa Benítez,Q631,Inter Milan,0
Q144048,Rafa Benítez,Q9616,Chelsea F.C.,0
Q144048,Rafa Benítez,Q2641,SSC Napoli,0
Q144048,Rafa Benítez,Q8682,Real Madrid CF,0
Q144048,Rafa Benítez,Q18716,Newcastle United F.C.,0
Q144048,Rafa Benítez,Q1157920,Dalian Professional F.C.,0
Q144048,Rafa Benítez,Q5794,Everton F.C.,0
Q144048,Rafa Benítez,Q8749,RC Celta de Vigo,0
Q116980,Gennaro Gattuso,Q2674,Palermo F.C.,0
Q116980,Gennaro Gattuso,Q931704,O.F.I. Crete F.C.,0
Q116980,Gennaro Gattuso,Q289613,Pisa SC,0
Q116980,Gennaro Gattuso,Q289613,Pisa SC,0
Q116980,Gennaro Gattuso,Q3299830,A.C. Milan Primavera,0
Q116980,Gennaro Gattuso,Q1543,AC Milan,1
Q116980,Gennaro Gattuso,Q2641,SSC Napoli,0
Q116980,Gennaro Gattuso,Q10333,Valencia CF,0
Q116980,Gennaro Gattuso,Q132885,Olympique de Marseille,0
Q116980,Gennaro Gattuso,Q181216,HNK Hajduk Split,0
Q116980,Gennaro Gattuso,Q676899,Italy men's national association football team,1
Q276544,Igor Tudor,Q181216,HNK Hajduk Split,1
Q276544,Igor Tudor,Q204888,P.A.O.K. F.C.,0
Q276544,Igor Tudor,Q301332,Kardemir Karabükspor,0
Q276544,Igor Tudor,Q495299,Galatasaray S.K.,0
Q276544,Igor Tudor,Q2798,Udinese Calcio,0
Q276544,Igor Tudor,Q2798,Udinese Calcio,0
Q276544,Igor Tudor,Q181216,HNK Hajduk Split,1
Q276544,Igor Tudor,Q8639,Hellas Verona FC,0
Q276544,Igor Tudor,Q132885,Olympique de Marseille,0
Q276544,Igor Tudor,Q2609,SS Lazio,0
Q276544,Igor Tudor,Q1422,Juventus FC,1
Q79983,José Mourinho,Q131499,S.L. Benfica,0
Q79983,José Mourinho,Q211401,U.D. Leiria,0
Q79983,José Mourinho,Q128446,FC Porto,0
Q79983,José Mourinho,Q9616,Chelsea F.C.,0
Q79983,José Mourinho,Q631,Inter Milan,0
Q79983,José Mourinho,Q8682,Real Madrid CF,0
Q79983,José Mourinho,Q9616,Chelsea F.C.,0
Q79983,José Mourinho,Q18656,Manchester United F.C.,0
Q79983,José Mourinho,Q18741,Tottenham Hotspur F.C.,0
Q79983,José Mourinho,Q2739,A.S. Roma,0
Q79983,José Mourinho,Q6601875,Fenerbahçe Istanbul,0
Q44420,Giovanni Trapattoni,Q1543,AC Milan,0
Q44420,Giovanni Trapattoni,Q1422,Juventus FC,1
Q44420,Giovanni Trapattoni,Q631,Inter Milan,0
Q44420,Giovanni Trapattoni,Q1422,Juventus FC,1
Q44420,Giovanni Trapattoni,Q15789,FC Bayern Munich,0
Q44420,Giovanni Trapattoni,Q1900,Cagliari Calcio,0
Q44420,Giovanni Trapattoni,Q15789,FC Bayern Munich,0
Q44420,Giovanni Trapattoni,Q2052,ACF Fiorentina,0
Q44420,Giovanni Trapattoni,Q676899,Italy men's national association football team,1
Q44420,Giovanni Trapattoni,Q131499,S.L. Benfica,0
Q44420,Giovanni Trapattoni,Q4512,VfB Stuttgart,0
Q44420,Giovanni Trapattoni,Q994811,FC Red Bull Salzburg,0
Q44420,Giovanni Trapattoni,Q163547,Republic of Ireland men's national association football team,0
Q126503,Filippo Inzaghi,Q1543,AC Milan,1
Q126503,Filippo Inzaghi,Q501245,Venezia F.C.,0
Q126503,Filippo Inzaghi,Q1893,Bologna F.C. 1909,0
Q126503,Filippo Inzaghi,Q652516,Benevento Calcio,0
Q126503,Filippo Inzaghi,Q6651,Brescia Calcio,0
Q126503,Filippo Inzaghi,Q8476,AS Reggina 1914,1
Q126503,Filippo Inzaghi,Q847587,U.S. Salernitana 1919,0
Q126503,Filippo Inzaghi,Q289613,Pisa SC,0
Q126503,Filippo Inzaghi,Q2674,Palermo F.C.,0
Q294718,Roberto Donadoni,Q944876,Calcio Lecco 1912,0
Q294718,Roberto Donadoni,Q944876,Calcio Lecco 1912,0
Q294718,Roberto Donadoni,Q6767,US Livorno 1915,0
Q294718,Roberto Donadoni,Q2074,Genoa CFC,0
Q294718,Roberto Donadoni,Q6767,US Livorno 1915,0
Q294718,Roberto Donadoni,Q676899,Italy men's national association football team,1
Q294718,Roberto Donadoni,Q2641,SSC Napoli,0
Q294718,Roberto Donadoni,Q1900,Cagliari Calcio,0
Q294718,Roberto Donadoni,Q2693,Parma Calcio 1913,0
Q294718,Roberto Donadoni,Q1893,Bologna F.C. 1909,0
Q294718,Roberto Donadoni,Q1139956,Shenzhen F.C.,0
Q102027,Fabio Cannavaro,Q130521,Guangzhou F.C.,0
Q102027,Fabio Cannavaro,Q652516,Benevento Calcio,0
Q102027,Fabio Cannavaro,Q2798,Udinese Calcio,0
Q102027,Fabio Cannavaro,Q172803,GNK Dinamo Zagreb,0
Q3362674,Paolo Vanoli,Q9616,Chelsea F.C.,0
Q314511,Gunnar Gren,Q1543,AC Milan,1
Q46741,Leonardo Araújo,Q1543,AC Milan,1
Q258115,Diego Simeone,Q276533,Racing Club,1
Q258115,Diego Simeone,Q214940,Estudiantes de La Plata,0
Q258115,Diego Simeone,Q15799,Club Atlético River Plate,0
Q258115,Diego Simeone,Q218282,San Lorenzo de Almagro,0
Q258115,Diego Simeone,Q2018,Catania FC,0
Q258115,Diego Simeone,Q276533,Racing Club,1
Q258115,Diego Simeone,Q8701,Atlético de Madrid,1
Q258115,Diego Simeone,Q2641,SSC Napoli,0
Q174614,Carlo Ancelotti,Q289707,A.C. Reggiana 1919,0
Q174614,Carlo Ancelotti,Q2693,Parma Calcio 1913,1
Q174614,Carlo Ancelotti,Q1422,Juventus FC,0
Q174614,Carlo Ancelotti,Q1543,AC Milan,1
Q174614,Carlo Ancelotti,Q9616,Chelsea F.C.,0
Q174614,Carlo Ancelotti,Q483020,Paris Saint-Germain FC,0
Q174614,Carlo Ancelotti,Q8682,Real Madrid CF,0
Q174614,Carlo Ancelotti,Q15789,FC Bayern Munich,0
Q174614,Carlo Ancelotti,Q2641,SSC Napoli,0
Q174614,Carlo Ancelotti,Q5794,Everton F.C.,0
Q174614,Carlo Ancelotti,Q8682,Real Madrid CF,0
Q174614,Carlo Ancelotti,Q83459,Brazil men's national football team,0
Q210491,Cristian Chivu,Q2693,Parma Calcio 1913,0
Q210491,Cristian Chivu,Q631,Inter Milan,1
Q262203,Fatih Terim,Q492826,MKE Ankaragücü,0
Q262203,Fatih Terim,Q1423118,Göztepe S.K.,0
Q262203,Fatih Terim,Q1624749,Turkey national under-21 football team,1
Q262203,Fatih Terim,Q483856,Turkey men's national football team,1
Q262203,Fatih Terim,Q495299,Galatasaray S.K.,1
Q262203,Fatih Terim,Q2052,ACF Fiorentina,0
Q262203,Fatih Terim,Q1543,AC Milan,0
Q262203,Fatih Terim,Q495299,Galatasaray S.K.,1
Q262203,Fatih Terim,Q483856,Turkey men's national football team,1
Q262203,Fatih Terim,Q483856,Turkey men's national football team,1
Q262203,Fatih Terim,Q495299,Galatasaray S.K.,1
Q262203,Fatih Terim,Q483856,Turkey men's national football team,1
Q262203,Fatih Terim,Q495299,Galatasaray S.K.,1
Q262203,Fatih Terim,Q4122219,Panathinaikos F.C.,0
Q262203,Fatih Terim,Q2636005,Al-Shabab Football Club,0
Q294351,Siniša Mihajlović,Q1893,Bologna F.C. 1909,0
Q294351,Siniša Mihajlović,Q2018,Catania FC,0
Q294351,Siniša Mihajlović,Q2052,ACF Fiorentina,0
Q294351,Siniša Mihajlović,Q182740,Serbia men's national football team,0
Q294351,Siniša Mihajlović,Q1457,U.C. Sampdoria,1
Q294351,Siniša Mihajlović,Q1543,AC Milan,0
Q294351,Siniša Mihajlović,Q2768,Torino FC,0
Q294351,Siniša Mihajlović,Q75729,Sporting CP,0
Q294351,Siniša Mihajlović,Q1893,Bologna F.C. 1909,0
Q294302,Walter Zenga,Q309095,New England Revolution,1
Q294302,Walter Zenga,Q25230762,Brera Calcio,0
Q294302,Walter Zenga,Q1195647,FC Progresul București,0
Q294302,Walter Zenga,Q179658,FCSB,0
Q294302,Walter Zenga,Q173009,FK Crvena zvezda,0
Q294302,Walter Zenga,Q285722,Gaziantepspor,0
Q294302,Walter Zenga,Q204237,FC Dinamo Bucharest,0
Q294302,Walter Zenga,Q2018,Catania FC,0
Q294302,Walter Zenga,Q2674,Palermo F.C.,0
Q294302,Walter Zenga,Q482764,Al-Nassr,0
Q294302,Walter Zenga,Q812723,Al-Nasr SC,0
Q294302,Walter Zenga,Q429630,Al Jazira Club,0
Q294302,Walter Zenga,Q812740,Al-Shaab CSC,0
Q294302,Walter Zenga,Q1457,U.C. Sampdoria,1
Q294302,Walter Zenga,Q19500,Wolverhampton Wanderers F.C.,0
Q294302,Walter Zenga,Q6690,F.C. Crotone,0
Q294302,Walter Zenga,Q501245,Venezia F.C.,0
Q294302,Walter Zenga,Q1900,Cagliari Calcio,0
Q294302,Walter Zenga,Q1191998,Emirates Club,0
Q503297,Tarcisio Burgnich,Q6767,US Livorno 1915,0
Q382987,Giovanni Ferrari,Q1422,Juventus FC,1
Q48330,Roberto Mancini,Q2052,ACF Fiorentina,0
Q48330,Roberto Mancini,Q2609,SS Lazio,1
Q48330,Roberto Mancini,Q631,Inter Milan,0
Q48330,Roberto Mancini,Q50602,Manchester City F.C.,0
Q48330,Roberto Mancini,Q495299,Galatasaray S.K.,0
Q48330,Roberto Mancini,Q631,Inter Milan,0
Q48330,Roberto Mancini,Q29108,FC Zenit Saint Petersburg,0
Q48330,Roberto Mancini,Q676899,Italy men's national association football team,1
Q48330,Roberto Mancini,Q189723,Saudi Arabia men's national football team,0
Q297768,Vincenzo Montella,Q2018,Catania FC,0
Q297768,Vincenzo Montella,Q2052,ACF Fiorentina,0
Q297768,Vincenzo Montella,Q1457,U.C. Sampdoria,1
Q297768,Vincenzo Montella,Q1543,AC Milan,0
Q297768,Vincenzo Montella,Q10329,Sevilla FC,0
Q297768,Vincenzo Montella,Q2052,ACF Fiorentina,0
Q297768,Vincenzo Montella,Q352251,Adana Demirspor,0
Q297768,Vincenzo Montella,Q483856,Turkey men's national football team,0
Q314440,Paulo Sousa,Q18723,Queens Park Rangers F.C.,0
Q469096,Alfredo Foni,Q501245,Venezia F.C.,0
Q314053,Luigi Di Biagio,Q922698,Italy national under-21 football team,0
Q312633,Nils Liedholm,Q1543,AC Milan,1
Q43304,Marcello Lippi,Q62024581,U.C. Sampdoria under-19,0
Q43304,Marcello Lippi,Q1056821,U.S. Città di Pontedera S.S.D.,0
Q43304,Marcello Lippi,Q2756,Siena FC,0
Q43304,Marcello Lippi,Q1279917,Pistoiese FC,1
Q43304,Marcello Lippi,Q650365,Carrarese Calcio,0
Q43304,Marcello Lippi,Q6664,AC Cesena,0
Q43304,Marcello Lippi,Q298333,Lucchese 1905,1
Q43304,Marcello Lippi,Q1886,Atalanta BC,0
Q43304,Marcello Lippi,Q2641,SSC Napoli,0
Q43304,Marcello Lippi,Q1422,Juventus FC,0
Q43304,Marcello Lippi,Q631,Inter Milan,0
Q43304,Marcello Lippi,Q1422,Juventus FC,0
Q43304,Marcello Lippi,Q676899,Italy men's national association football team,0
Q43304,Marcello Lippi,Q676899,Italy men's national association football team,0
Q43304,Marcello Lippi,Q130521,Guangzhou F.C.,0
Q43304,Marcello Lippi,Q130582,China men's national football team,0
Q342698,Mircea Lucescu,Q1135735,CS Corvinul Hunedoara,1
Q342698,Mircea Lucescu,Q179075,FC Dynamo Kyiv,0
Q342698,Mircea Lucescu,Q168397,Romania men's national association football team,1
Q168497,Daniele De Rossi,Q13385,SPAL,0
Q168497,Daniele De Rossi,Q2739,A.S. Roma,1
Q449873,Carlos Bianchi,Q483020,Paris Saint-Germain FC,1
